PRCL,NPRO,n_punct,title_len
3.0,2.0,11,11
2.0,3.0,14,10
21.0,11.0,37,9
1.0,3.0,9,7
5.0,6.0,13,9
3.0,7.0,14,12
1.0,1.0,9,10
4.0,4.0,20,9
3.0,3.0,9,9
2.0,3.0,18,5
3.0,3.0,20,5
12.0,5.0,31,9
5.0,9.0,29,10
3.0,1.0,8,10
3.0,1.0,20,10
6.0,4.0,17,9
2.0,5.0,15,8
1.0,3.0,7,11
3.0,2.0,21,7
3.0,3.0,17,12
6.0,1.0,14,10
2.0,4.0,13,8
2.0,2.0,24,8
1.0,3.0,15,12
6.0,3.0,17,7
1.0,9.0,18,10
6.0,2.0,15,9
3.0,3.0,6,8
3.0,1.0,13,6
3.0,3.0,14,9
5.0,4.0,17,9
3.0,1.0,10,9
3.0,1.0,5,9
23.0,22.0,33,7
11.0,6.0,21,9
3.0,4.0,34,13
4.0,7.0,21,9
7.0,10.0,15,9
1.0,2.0,19,9
5.0,2.0,10,9
1.0,3.0,12,10
3.0,3.0,10,8
3.0,2.0,10,12
1.0,5.0,19,11
2.0,1.0,8,10
10.0,10.0,34,12
3.0,1.0,9,8
3.0,4.0,34,5
3.0,1.0,23,12
3.0,2.0,26,15
3.0,1.0,31,11
2.0,3.0,19,7
3.0,1.0,12,9
4.0,2.0,16,8
17.0,21.0,62,10
11.0,6.0,20,9
2.0,1.0,12,11
3.0,3.0,13,7
1.0,1.0,23,11
3.0,1.0,8,11
4.0,1.0,19,7
3.0,1.0,8,9
6.0,10.0,19,11
8.0,2.0,11,8
15.0,12.0,24,9
5.0,9.0,20,10
3.0,3.0,27,11
12.0,10.0,37,11
7.0,6.0,8,8
2.0,4.0,11,10
3.0,1.0,9,12
7.0,3.0,26,6
1.0,4.0,134,5
5.0,8.0,17,9
1.0,3.0,10,9
5.0,8.0,15,8
1.0,1.0,17,9
1.0,1.0,20,10
3.0,3.0,24,8
3.0,3.0,6,10
2.0,2.0,112,5
3.0,6.0,22,9
5.0,1.0,5,10
5.0,12.0,27,10
83.0,56.0,495,7
2.0,1.0,7,9
2.0,2.0,7,7
3.0,3.0,10,8
4.0,3.0,10,7
2.0,3.0,23,9
3.0,4.0,10,8
6.0,5.0,15,9
6.0,8.0,61,7
1.0,1.0,21,9
1.0,3.0,5,6
7.0,4.0,31,11
3.0,1.0,14,12
58.0,73.0,113,9
8.0,8.0,24,8
9.0,5.0,19,9
3.0,2.0,53,9
3.0,1.0,15,10
5.0,7.0,227,11
3.0,2.0,17,8
4.0,2.0,21,11
1.0,3.0,35,9
2.0,1.0,12,11
1.0,3.0,30,7
1.0,1.0,23,5
2.0,4.0,15,8
3.0,3.0,7,6
2.0,2.0,11,7
1.0,3.0,5,11
1.0,1.0,10,13
1.0,3.0,45,10
3.0,2.0,7,9
13.0,11.0,48,9
1.0,2.0,12,8
4.0,2.0,25,10
5.0,9.0,12,8
1.0,3.0,9,9
1.0,3.0,7,9
1.0,3.0,38,14
8.0,6.0,7,10
3.0,3.0,19,8
67.0,61.0,143,5
7.0,5.0,12,9
3.0,1.0,8,13
5.0,5.0,34,8
3.0,2.0,14,10
1.0,3.0,22,8
3.0,2.0,19,8
3.0,1.0,13,8
3.0,3.0,7,10
12.0,6.0,22,10
1.0,1.0,14,9
3.0,13.0,30,10
3.0,2.0,9,7
6.0,5.0,15,11
2.0,3.0,6,7
3.0,6.0,16,7
1.0,3.0,16,12
2.0,1.0,11,10
3.0,3.0,32,11
3.0,3.0,14,7
9.0,5.0,17,10
5.0,6.0,34,10
1.0,1.0,28,9
3.0,3.0,3,8
3.0,3.0,10,14
11.0,4.0,31,10
3.0,1.0,5,8
1.0,3.0,20,10
1.0,1.0,5,10
7.0,5.0,21,9
3.0,4.0,9,8
3.0,4.0,22,11
8.0,7.0,12,8
4.0,12.0,38,8
6.0,6.0,12,10
3.0,3.0,14,9
86.0,101.0,173,11
6.0,7.0,14,10
34.0,18.0,54,10
1.0,3.0,34,16
3.0,1.0,14,11
3.0,8.0,9,9
3.0,2.0,12,8
49.0,25.0,111,6
17.0,13.0,64,8
1.0,1.0,10,10
3.0,3.0,52,9
5.0,6.0,15,10
3.0,2.0,21,11
5.0,3.0,29,13
